row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_gross,opening_theater_count,release_date,close_date,twitter1,twitter2,twitter3,twitter4,twitter5,ReleaseMonth,ReleaseMonthName
1,90,Eighth Grade,A24,"$1,648,837 ",158,263797.0,4.0,8/3/18,-,EighthGrade,,,,,8,August
2,57,Mission: Impossible - Fallout,Par.,"$77,526,635 ","4,386",61236534.0,4386.0,7/27/18,-,MissionImpossible,MissionImpossibleFallout,,,,7,July
3,84,Teen Titans Go! To The Movies,WB,"$13,640,501 ","3,188",10411189.0,3188.0,7/27/18,-,TeenTitansGOMovie,,,,,7,July
4,91,Princess Mononoke - Studio Ghibli (2018),Fathom,"$1,464,271 ",739,489847.0,739.0,7/22/18,-,princessmononoke,,,,,7,July
5,22,Mamma Mia! Here We Go Again,Uni.,"$60,227,525 ","3,514",34952180.0,3317.0,7/20/18,-,MammaMia2,,,,,7,July
6,28,The Equalizer 2,Sony,"$54,241,345 ","3,388",36011640.0,3388.0,7/20/18,-,TheEqualizer2,,,,,7,July
7,76,Unfriended: Dark Web,BH Tilt,"$6,375,430 ","1,547",3653035.0,1546.0,7/20/18,-,UnfriendedMovie,UnfriendedDarkWeb,,,,7,July
8,12,Hotel Transylvania 3: Summer Vacation,Sony,"$110,628,501 ","4,267",44076225.0,4267.0,7/13/18,-,HotelT3,,,,,7,July
9,27,Skyscraper,Uni.,"$55,264,760 ","3,822",24905015.0,3782.0,7/13/18,-,SkyscraperMovie,,,,,7,July
10,67,Sorry to Bother You,Annapurna,"$12,327,421 ","1,050",727266.0,16.0,7/13/18,-,SorryToBotherYou,,,,,7,July
11,8,Ant-Man and the Wasp,BV,"$177,219,127 ","4,206",75812205.0,4206.0,7/6/18,-,AntMan,,,,,7,July
12,21,The First Purge,Uni.,"$63,917,875 ","3,038",17374280.0,3031.0,7/4/18,-,TheFirstPurge,,,,,7,July
13,33,Sicario: Day of the Soldado,Sony,"$48,230,874 ","3,055",19007566.0,3055.0,6/29/18,-,SicarioMovie,,,,,6,June
14,41,Uncle Drew,LG/S,"$40,891,671 ","2,742",15242781.0,2742.0,6/29/18,-,UncleDrew,,,,,6,June
15,61,Won't You Be My Neighbor?,Focus,"$19,343,937 ",893,475419.0,29.0,6/29/18,-,MrRogersMovie,,,,,6,June
16,97,TCM: West Side Story,Fathom,"$408,136 ",616,214212.0,616.0,6/24/18,-,tcm,,,,,6,June
17,4,Jurassic World: Fallen Kingdom,Uni.,"$392,717,500 ","4,485",148024610.0,4475.0,6/22/18,-,FallenKingdom,,,,,6,June
18,3,Incredibles 2,BV,"$567,751,648 ","4,410",182687905.0,4410.0,6/15/18,-,Incredibles2,,,,,6,June
19,29,Tag,WB (NL),"$53,349,175 ","3,382",14947396.0,3382.0,6/15/18,-,TagMovie,,,,,6,June
20,60,Superfly,Col.,"$20,480,302 ","2,220",6870740.0,2220.0,6/13/18,-,Superfly,,,,,6,June
21,10,Ocean's 8,WB,"$136,837,915 ","4,145",41607378.0,4145.0,6/8/18,-,Oceans8,,,,,6,June
22,38,Hereditary,A24,"$43,622,140 ","2,998",13575172.0,2964.0,6/8/18,-,Hereditary,,,,,6,June
23,75,Hotel Artemis,Global Road,"$6,708,147 ","2,407",3232790.0,2407.0,6/8/18,7/19/18,HotelArtemis,,,,,6,June
24,50,Adrift,STX,"$31,385,713 ","3,015",11603039.0,3015.0,6/1/18,-,AdriftMovie,,,,,6,June
25,68,Upgrade,BH Tilt,"$11,871,365 ","1,458",4670905.0,1457.0,6/1/18,7/12/18,UpgradeMovie,,,,,6,June
26,80,Action Point,Par.,"$5,059,608 ","2,032",2390164.0,2032.0,6/1/18,6/14/18,ActionPoint,,,,,6,June
27,6,Solo: A Star Wars Story,BV,"$212,620,759 ","4,381",84420489.0,4381.0,5/25/18,-,HanSolo,HanSoloMovie,,,,5,May
28,5,Deadpool 2,Fox,"$317,478,854 ","4,349",125507153.0,4349.0,5/18/18,-,Deadpool2,,,,,5,May
29,19,Book Club,Par.,"$68,331,773 ","3,169",13582231.0,2781.0,5/18/18,-,BookClub,,,,,5,May
30,63,Show Dogs,Global Road,"$17,744,685 ","3,212",6023972.0,3212.0,5/18/18,7/26/18,ShowDogsMovie,,,,,5,May
31,30,Life of the Party,WB (NL),"$52,801,277 ","3,656",17886075.0,3656.0,5/11/18,-,LifeOfTheParty,,,,,5,May
32,35,Breaking In (2018),Uni.,"$46,383,120 ","2,537",17630285.0,2537.0,5/11/18,7/12/18,BreakingInMovie,,,,,5,May
33,31,Overboard (2018),PNT,"$50,316,123 ","2,006",14711101.0,1623.0,5/4/18,7/5/18,OverboardMovie,,,,,5,May
34,71,Tully (2018),Focus,"$9,227,130 ","1,356",3282610.0,1353.0,5/4/18,6/7/18,TULLY,,,,,5,May
35,85,Bad Samaritan,Electric,"$3,435,047 ","2,007",1726868.0,2007.0,5/4/18,5/24/18,BadSamaritan,,,,,5,May
36,2,Avengers: Infinity War,BV,"$677,273,078 ","4,474",257698183.0,4474.0,4/27/18,-,InfinityWar,,,,,4,April
37,32,I Feel Pretty,STX,"$48,795,601 ","3,440",16030218.0,3440.0,4/20/18,6/21/18,IFeelPretty,,,,,4,April
38,51,Super Troopers 2,Fox,"$30,617,396 ","2,125",15181624.0,2038.0,4/20/18,7/12/18,SuperTroopers2,,,,,4,April
39,72,Traffik,LGF,"$9,186,156 ","1,046",3941338.0,1046.0,4/20/18,5/31/18,Traffik,,,,,4,April
40,15,Rampage (2018),WB (NL),"$99,345,950 ","4,115",35753093.0,4101.0,4/13/18,-,RampageMovie,,,,,4,April
41,43,Truth or Dare,Uni.,"$40,717,020 ","3,068",18667855.0,3029.0,4/13/18,6/7/18,TruthorDareMovie,,,,,4,April
42,49,Isle Of Dogs,FoxS,"$31,970,030 ","1,947",1620294.0,27.0,4/13/18,-,IsleofDogs,,,,,4,April
43,87,Sgt. Stubby: An American Hero,FunAcad,"$3,140,677 ","1,633",1164403.0,1633.0,4/13/18,-,StubbyMovie,,,,,4,April
44,81,Beirut,BST,"$5,019,226 ",755,1734497.0,755.0,4/11/18,6/14/18,BeirutMovie,,,,,4,April
45,7,A Quiet Place,Par.,"$187,841,212 ","3,808",50203562.0,3508.0,4/6/18,-,AQuietPlace,,,,,4,April
46,23,Blockers,Uni.,"$59,839,515 ","3,418",20556350.0,3379.0,4/6/18,6/14/18,BlockersMovie,,,,,4,April
47,65,Chappaquiddick,ENTMP,"$17,394,764 ","1,645",5765854.0,1560.0,4/6/18,-,Chappaquiddick,,,,,4,April
48,69,The Miracle Season,Mirr/LD,"$10,230,620 ","1,707",3950652.0,1707.0,4/6/18,7/5/18,TheMiracleSeason,,,,,4,April
49,39,Tyler Perry's Acrimony,LGF,"$43,549,096 ","2,006",17170707.0,2006.0,3/30/18,6/7/18,Acrimony,,,,,3,March
50,79,God's Not Dead: A Light in Darkness,PFR,"$5,728,940 ","1,693",2689677.0,1693.0,3/30/18,6/14/18,GodsNotDead,,,,,3,March
51,9,Ready Player One,WB,"$137,018,455 ","4,234",41764050.0,4234.0,3/29/18,7/5/18,ReadyPlayerOne,,,,,3,March
52,24,Pacific Rim Uprising,Uni.,"$59,185,715 ","3,708",28116535.0,3708.0,3/23/18,5/17/18,PacificRimUprising,,,,,3,March
53,40,Sherlock Gnomes,Par.,"$43,242,871 ","3,662",10604774.0,3662.0,3/23/18,6/14/18,SherlockGnomes,,,,,3,March
54,64,"Paul, Apostle of Christ",Sony,"$17,560,475 ","1,473",5172585.0,1473.0,3/23/18,5/24/18,PaulMovie,,,,,3,March
55,70,Midnight Sun,Global Road,"$9,561,064 ","2,173",4003993.0,2173.0,3/23/18,-,MidnightSunMovie,,,,,3,March
56,74,Unsane,BST,"$7,732,899 ","2,023",3762145.0,2023.0,3/23/18,4/12/18,Unsane,,,,,3,March
57,16,I Can Only Imagine,RAtt.,"$83,482,352 ","2,894",17108914.0,1629.0,3/16/18,7/12/18,ICanOnlyImagine,,,,,3,March
58,26,Tomb Raider,WB,"$57,421,715 ","3,854",23633317.0,3854.0,3/16/18,5/31/18,TombRaider,,,,,3,March
59,42,"Love, Simon",Fox,"$40,826,341 ","2,434",11756244.0,2402.0,3/16/18,6/14/18,LOVESIMON,,,,,3,March
60,86,7 Days in Entebbe,Focus,"$3,347,813 ",838,1592645.0,838.0,3/16/18,5/20/18,7DaysInEntebbe,,,,,3,March
61,13,A Wrinkle in Time,BV,"$100,478,608 ","3,980",33123609.0,3980.0,3/9/18,7/5/18,WrinkleInTime,,,,,3,March
62,56,Strangers: Prey at Night,Aviron,"$24,586,708 ","2,464",10402271.0,2464.0,3/9/18,5/31/18,PreyAtNight,,,,,3,March
63,77,The Hurricane Heist,ENTMP,"$6,115,825 ","2,402",3024399.0,2402.0,3/9/18,5/10/18,TheHurricaneHeist,,,,,3,March
64,82,Gringo,STX,"$4,969,853 ","2,404",2722420.0,2404.0,3/9/18,4/5/18,GringoMovie,,,,,3,March
65,34,Red Sparrow,Fox,"$46,874,505 ","3,064",16853422.0,3056.0,3/2/18,-,RedSparrow,,,,,3,March
66,47,Death Wish (2018),MGM,"$34,017,028 ","2,882",13010267.0,2847.0,3/2/18,5/31/18,TheHurricaneHeist,,,,,3,March
67,18,Game Night,WB (NL),"$69,001,013 ","3,502",17005332.0,3488.0,2/23/18,6/21/18,GameNight,,,,,2,February
68,48,Annihilation,Par.,"$32,732,301 ","2,112",11071584.0,2012.0,2/23/18,4/19/18,annihilation,,,,,2,February
69,78,Every Day (2018),Orion,"$6,102,076 ","1,669",3016149.0,1667.0,2/23/18,3/22/18,EveryDayMovie,,,,,2,February
70,1,Black Panther,BV,"$699,953,434 ","4,084",202003951.0,4020.0,2/16/18,-,BlackPanther,,,,,2,February
71,73,Early Man,LGF,"$8,267,544 ","2,494",3190525.0,2494.0,2/16/18,3/29/18,EarlyMan,,,,,2,February
72,83,Samson,PFR,"$4,719,928 ","1,249",1942569.0,1249.0,2/16/18,4/12/18,SamsonMovie,,,,,2,February
73,11,Peter Rabbit,Sony,"$115,253,424 ","3,725",25010928.0,3725.0,2/9/18,6/14/18,PeterRabbit ,PeterRabbitMovie,,,,2,February
74,14,Fifty Shades Freed,Uni.,"$100,407,760 ","3,768",38560195.0,3768.0,2/9/18,4/5/18,FiftyShadesFreed,,,,,2,February
75,46,The 15:17 to Paris,WB,"$36,250,957 ","3,042",12554286.0,3042.0,2/9/18,4/12/18,1517ToParis,,,,,2,February
76,55,Winchester,LGF,"$25,091,816 ","2,480",9307626.0,2480.0,2/2/18,3/29/18,WinchesterMovie,,,,,2,February
77,98,85: The Greatest Team in Football History,Fathom,"$115,463 ",199,-1.0,-1.0,1/29/18,1/29/18,BearDown,ShuffleOn,,,,1,January
78,25,Maze Runner: The Death Cure,Fox,"$58,032,443 ","3,793",24167011.0,3787.0,1/26/18,5/3/18,DeathCure,,,,,1,January
79,53,Hostiles,ENTMP,"$29,819,114 ","2,934",22849.0,3.0,1/26/18,5/10/18,Hostiles,,,,,1,January
80,36,12 Strongs,WB,"$45,500,164 ","3,018",15815025.0,3002.0,1/19/18,3/29/18,12StrongMovie,,,,,1,January
81,37,Den of Thieves,STX,"$44,947,622 ","2,432",15206108.0,2432.0,1/19/18,3/22/18,DenOfThieves,,,,,1,January
82,52,"I, Tonya",Neon,"$30,014,539 ","1,450",264155.0,4.0,1/19/18,4/19/18,ITonya,,,,,1,January
83,58,Phantom Thread,Focus,"$21,051,680 ","1,186",216495.0,4.0,1/19/18,4/12/18,PhantomThread,,,,,1,January
84,62,Call Me by Your Name,SPC,"$18,095,701 ",914,412932.0,4.0,1/19/18,4/26/18,CMBYN,,,,,1,January
85,66,Forever My Girl,RAtt.,"$16,376,066 ","1,427",4245630.0,1114.0,1/19/18,5/10/18,ForeverMyGirl,,,,,1,January
86,17,The Post,Fox,"$81,903,458 ","2,851",526011.0,9.0,1/12/18,5/17/18,ThePost,,,,,1,January
87,44,Paddington 2,WB,"$40,442,052 ","3,702",11001961.0,3702.0,1/12/18,3/15/18,Paddington2,,,,,1,January
88,45,The Commuter,LGF,"$36,343,858 ","2,892",13701452.0,2892.0,1/12/18,3/15/18,TheCommuter,,,,,1,January
89,59,Proud Mary,SGem,"$20,877,013 ","2,125",9959053.0,2125.0,1/12/18,3/8/18,ProudMaryMovie,,,,,1,January
90,20,Insidious: The Last Key,Uni.,"$67,347,895 ","3,150",29581355.0,3116.0,1/5/18,3/1/18,insidiousthelastkey,,,,,1,January
91,54,Molly's Game,STX,"$28,780,744 ","1,708",2349967.0,271.0,1/5/18,3/8/18,MollysGame,,,,,1,January
92,91,All the Money in the World,TriS,"$25,113,707 ","2,123",5584684.0,2074.0,12/25/17,3/22/17,AllTheMoney,,,,,12,December
93,30,Pitch Perfect 3,Uni.,"$104,897,530 ","3,468",19928525.0,3447.0,12/22/17,3/8/17,pitchperfect3,,,,,12,December
94,46,The Shape of Water,FoxS,"$63,859,435 ","2,341",166564.0,2.0,12/22/17,5/3/17,TheShapeofWater,,,,,12,December
95,50,Darkest Hour,Focus,"$56,468,410 ","1,733",175006.0,4.0,12/22/17,4/12/17,DarkestHour,,,,,12,December
96,93,Downsizing,Par.,"$24,449,754 ","2,668",4954287.0,2668.0,12/22/17,2/1/17,Downsizing,,,,,12,December
97,107,Father Figures,WB,"$17,501,244 ","2,902",3287451.0,2902.0,12/22/17,2/15/17,FatherFigures,,,,,12,December
98,4,Jumanji: Welcome to the Jungle,Sony,"$404,515,480 ","3,849",36169328.0,3765.0,12/20/17,5/31/17,JUMANJI,,,,,12,December
99,18,The Greatest Showman,Fox,"$174,340,174 ","3,342",8805843.0,3006.0,12/20/17,7/26/17,GreatestShowman,,,,,12,December
100,1,Star Wars: The Last Jedi,BV,"$620,181,382 ","4,232",220009584.0,4232.0,12/15/17,4/19/17,StarWarsTheLastJedi ,,,,,12,December
101,39,Ferdinand,Fox,"$84,410,380 ","3,630",13401586.0,3621.0,12/15/17,5/31/17,Ferdinand,,,,,12,December
102,99,The Disaster Artist,A24,"$21,120,616 ","1,010",1211345.0,19.0,12/8/17,3/8/17,TheDisasterArtist,,,,,12,December
103,138,Just Getting Started,BG,"$6,069,605 ","2,161",3201459.0,2161.0,12/8/17,1/25/17,JustGettingStarted,,,,,12,December
104,52,"Three Billboards Outside Ebbing, Missouri",FoxS,"$54,513,740 ","1,726",322168.0,4.0,12/1/17,5/3/17,ThreeBillboards,,,,,12,December
105,57,Lady Bird,A24,"$48,958,273 ","1,557",364437.0,4.0,11/24/17,4/5/17,LadyBird,,,,,11,November
106,141,The Man Who Invented Christmas,BST,"$5,676,486 ",720,1357129.0,626.0,11/24/17,1/25/17,InventingChristmas,,,,,11,November
107,13,Coco,BV,"$209,726,015 ","3,987",50802605.0,3987.0,11/22/17,4/26/17,PixarCoco,,,,,11,November
108,119,"Roman J. Israel, Esq.",Sony,"$11,962,778 ","1,669",61999.0,4.0,11/22/17,2/22/17,RomanIsraelMovie,,,,,11,November
109,10,Justice League,WB,"$229,024,295 ","4,051",93842239.0,4051.0,11/17/17,3/15/17,JusticeLeague,,,,,11,November
110,25,Wonder,LGF,"$132,422,809 ","3,519",27547866.0,3096.0,11/17/17,3/22/17,WonderTheMovie,,,,,11,November
111,68,The Star,Sony,"$40,852,824 ","2,976",9812674.0,2837.0,11/17/17,2/15/17,TheStarMovie,,,,,11,November
112,164,TCM Presents Casablanca 75th Anniversary,Fathom,"$1,024,560 ",725,596068.0,725.0,11/12/17,11/15/17,Casablanca75,,,,,11,November
113,31,Daddy's Home 2,Par.,"$104,029,443 ","3,575",29651193.0,3575.0,11/10/17,2/15/17,DaddysHome2,,,,,11,November
114,32,Murder on the Orient Express (2017),Fox,"$102,826,543 ","3,354",28681472.0,3341.0,11/10/17,-,OrientExpressMovie,,,,,11,November
115,155,Pokemon the Movie: I Choose You!,Fathom,"$2,401,722 ",789,-1.0,-1.0,11/5/17,11/16/17,PokemonIChooseYou,,,,,11,November
116,8,Thor: Ragnarok,BV,"$315,058,289 ","4,080",122744989.0,4080.0,11/3/17,3/15/17,ThorRagnarok,,,,,11,November
117,131,Let there be Light,ADC,"$7,233,471 ",774,1729535.0,373.0,11/3/17,2/16/17,LTBLfilm,,,,,11,November
118,153,LBJ,Electric,"$2,470,979 ",659,1110565.0,659.0,11/3/17,12/21/17,LBJMovie,,,,,11,November
119,44,A Bad Moms Christmas,STX,"$72,110,659 ","3,615",16759161.0,3615.0,11/1/17,1/11/17,BadMomsXmas,,,,,11,November
120,71,Jigsaw,LGF,"$38,052,832 ","2,941",16640452.0,2941.0,10/27/17,12/21/17,JigsawMovie,,,,,10,October
121,125,Thank You for Your Service (2017),Uni.,"$9,536,300 ","2,083",3817700.0,2054.0,10/27/17,11/30/17,ThankYouForYourService,,,,,10,October
122,140,Suburbicon,Par.,"$5,775,178 ","2,046",2840246.0,2046.0,10/27/17,11/16/17,Suburbicon,,,,,10,October
123,163,Spirited Away (Fathom Event),Fathom,"$1,196,791 ",632,903896.0,632.0,10/27/17,-,SpiritedAway,,,,,10,October
124,165,Kirk Cameron REVIVE US 2,Fathom,"$718,607 ",731,-1.0,-1.0,10/24/17,11/2/17,KirkCameron,,,,,10,October
125,58,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$47,319,572 ","2,388",21226953.0,2388.0,10/20/17,12/14/17,Boo2,,,,,10,October
126,76,Geostorm,WB,"$33,700,160 ","3,246",13707376.0,3246.0,10/20/17,1/11/17,Geostorm,,,,,10,October
127,104,Only The Brave,Sony,"$18,343,983 ","2,577",6002665.0,2577.0,10/20/17,2/1/17,OnlyTheBrave,,,,,10,October
128,136,The Snowman,Uni.,"$6,700,035 ","1,815",3372565.0,1812.0,10/20/17,11/23/17,TheSnowman,,,,,10,October
129,137,Same Kind of Different as Me,PFR,"$6,423,605 ","1,362",2591985.0,1362.0,10/20/17,2/1/17,SameKindMovie,,,,,10,October
130,51,Happy Death Day,Uni.,"$55,683,845 ","3,535",26039025.0,3149.0,10/13/17,12/14/17,happydeathday,,,,,10,October
131,73,The Foreigner,STX,"$34,393,507 ","2,515",13113024.0,2515.0,10/13/17,12/21/17,theforeigner,ForeignerMovie,,,,10,October
132,124,Marshall,ORF,"$10,051,659 ",821,3000805.0,821.0,10/13/17,1/18/17,MarshallMovie,,,,,10,October
133,161,Professor Marston & the Wonder Women,Annapurna,"$1,584,759 ","1,229",736883.0,1229.0,10/13/17,11/20/17,marstonmovie,professormarstonandthewonderwomen,,,,10,October
134,35,Geostorm,WB,"$92,054,159 ","4,058",32753122.0,4058.0,10/6/17,2/1/17,bladerunner2049,,,,,10,October
