row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_gross,opening_theater_count,release_date,close_date,twitter1,twitter2,twitter3,twitter4,twitter5
1,90,Eighth Grade,A24,"$1,648,837 ",158,"$263,797 ",4,8/3/18,-,EighthGrade,,,,
2,57,Mission: Impossible - Fallout,Par.,"$77,526,635 ","4,386","$61,236,534 ","4,386",7/27/18,-,MissionImpossible,MissionImpossibleFallout,,,
3,84,Teen Titans Go! To The Movies,WB,"$13,640,501 ","3,188","$10,411,189 ","3,188",7/27/18,-,TeenTitansGOMovie,,,,
4,91,Princess Mononoke - Studio Ghibli (2018),Fathom,"$1,464,271 ",739,"$489,847 ",739,7/22/18,-,princessmononoke,,,,
5,22,Mamma Mia! Here We Go Again,Uni.,"$60,227,525 ","3,514","$34,952,180 ","3,317",7/20/18,-,MammaMia2,,,,
6,28,The Equalizer 2,Sony,"$54,241,345 ","3,388","$36,011,640 ","3,388",7/20/18,-,TheEqualizer2,,,,
7,76,Unfriended: Dark Web,BH Tilt,"$6,375,430 ","1,547","$3,653,035 ","1,546",7/20/18,-,UnfriendedMovie,UnfriendedDarkWeb,,,
8,12,Hotel Transylvania 3: Summer Vacation,Sony,"$110,628,501 ","4,267","$44,076,225 ","4,267",7/13/18,-,HotelT3,,,,
9,27,Skyscraper,Uni.,"$55,264,760 ","3,822","$24,905,015 ","3,782",7/13/18,-,SkyscraperMovie,,,,
10,67,Sorry to Bother You,Annapurna,"$12,327,421 ","1,050","$727,266 ",16,7/13/18,-,SorryToBotherYou,,,,
11,8,Ant-Man and the Wasp,BV,"$177,219,127 ","4,206","$75,812,205 ","4,206",7/6/18,-,AntMan,,,,
12,21,The First Purge,Uni.,"$63,917,875 ","3,038","$17,374,280 ","3,031",7/4/18,-,TheFirstPurge,,,,
13,33,Sicario: Day of the Soldado,Sony,"$48,230,874 ","3,055","$19,007,566 ","3,055",6/29/18,-,SicarioMovie,,,,
14,41,Uncle Drew,LG/S,"$40,891,671 ","2,742","$15,242,781 ","2,742",6/29/18,-,UncleDrew,,,,
15,61,Won't You Be My Neighbor?,Focus,"$19,343,937 ",893,"$475,419 ",29,6/29/18,-,MrRogersMovie,,,,
16,97,TCM: West Side Story,Fathom,"$408,136 ",616,"$214,212 ",616,6/24/18,-,tcm,,,,
17,4,Jurassic World: Fallen Kingdom,Uni.,"$392,717,500 ","4,485","$148,024,610 ","4,475",6/22/18,-,FallenKingdom,,,,
18,3,Incredibles 2,BV,"$567,751,648 ","4,410","$182,687,905 ","4,410",6/15/18,-,Incredibles2,,,,
19,29,Tag,WB (NL),"$53,349,175 ","3,382","$14,947,396 ","3,382",6/15/18,-,TagMovie,,,,
20,60,Superfly,Col.,"$20,480,302 ","2,220","$6,870,740 ","2,220",6/13/18,-,Superfly,,,,
21,10,Ocean's 8,WB,"$136,837,915 ","4,145","$41,607,378 ","4,145",6/8/18,-,Oceans8,,,,
22,38,Hereditary,A24,"$43,622,140 ","2,998","$13,575,172 ","2,964",6/8/18,-,Hereditary,,,,
23,75,Hotel Artemis,Global Road,"$6,708,147 ","2,407","$3,232,790 ","2,407",6/8/18,7/19/18,HotelArtemis,,,,
24,50,Adrift,STX,"$31,385,713 ","3,015","$11,603,039 ","3,015",6/1/18,-,AdriftMovie,,,,
25,68,Upgrade,BH Tilt,"$11,871,365 ","1,458","$4,670,905 ","1,457",6/1/18,7/12/18,UpgradeMovie,,,,
26,80,Action Point,Par.,"$5,059,608 ","2,032","$2,390,164 ","2,032",6/1/18,6/14/18,ActionPoint,,,,
27,6,Solo: A Star Wars Story,BV,"$212,620,759 ","4,381","$84,420,489 ","4,381",5/25/18,-,HanSolo,HanSoloMovie,,,
28,5,Deadpool 2,Fox,"$317,478,854 ","4,349","$125,507,153 ","4,349",5/18/18,-,Deadpool2,,,,
29,19,Book Club,Par.,"$68,331,773 ","3,169","$13,582,231 ","2,781",5/18/18,-,BookClub,,,,
30,63,Show Dogs,Global Road,"$17,744,685 ","3,212","$6,023,972 ","3,212",5/18/18,7/26/18,ShowDogsMovie,,,,
31,30,Life of the Party,WB (NL),"$52,801,277 ","3,656","$17,886,075 ","3,656",5/11/18,-,LifeOfTheParty,,,,
32,35,Breaking In (2018),Uni.,"$46,383,120 ","2,537","$17,630,285 ","2,537",5/11/18,7/12/18,BreakingInMovie,,,,
33,31,Overboard (2018),PNT,"$50,316,123 ","2,006","$14,711,101 ","1,623",5/4/18,7/5/18,OverboardMovie,,,,
