,row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_count,opening_theater_count,release_date,close_date,twitter1,twitter2,twitter3,twitter4,twitter5,RT_title,critics_rating,audience_rating
0,0,90,Eighth Grade,A24,"$1,648,837",158,"$263,797",4,8/3/18,-,EighthGrade,,,,,Eighth_Grade,99.0,89.0
1,1,57,Mission: Impossible - Fallout,Par.,"$23,000,000","4,386",,"4,386",7/27/18,-,MissionImpossible,MissionImpossibleFallout,,,,Mission_Impossible_Fallout,97.0,92.0
2,2,84,Teen Titans Go! To The Movies,WB,"$4,250,000","3,188",,"3,188",7/27/18,-,TeenTitansGOMovie,,,,,Teen_Titans_Go_To_The_Movies,90.0,72.0
3,3,91,Princess Mononoke - Studio Ghibli (2018),Fathom,"$1,464,271",739,"$489,847",739,7/22/18,-,princessmononoke,,,,,princess_mononoke_studio_ghibli_fest_2018,-1.0,83.0
4,4,22,Mamma Mia! Here We Go Again,Uni.,"$60,227,525","3,514","$34,952,180","3,317",7/20/18,-,MammaMia2,,,,,Mamma_Mia_Here_We_Go_Again,79.0,76.0
5,5,28,The Equalizer 2,Sony,"$54,241,345","3,388","$36,011,640","3,388",7/20/18,-,TheEqualizer2,,,,,The_Equalizer_2,50.0,74.0
6,6,76,Unfriended: Dark Web,BH Tilt,"$6,375,430","1,547","$3,653,035","1,546",7/20/18,-,UnfriendedMovie,UnfriendedDarkWeb,,,,Unfriended_Dark_Web,57.0,44.0
7,7,12,Hotel Transylvania 3: Summer Vacation,Sony,"$110,628,501","4,267","$44,076,225","4,267",7/13/18,-,HotelT3,,,,,Hotel_Transylvania_3_Summer_Vacation,62.0,52.0
8,8,27,Skyscraper,Uni.,"$55,264,760","3,822","$24,905,015","3,782",7/13/18,-,SkyscraperMovie,,,,,skyscraper_2018,48.0,79.0
9,9,67,Sorry to Bother You,Annapurna,"$12,327,421","1,050","$727,266",16,7/13/18,-,SorryToBotherYou,,,,,Sorry_to_Bother_You,94.0,62.0
