row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_count,opening_theater_count,release_date,close
1,19,La La Land,LG/S,"$151,101,803","3,236","$881,104",5,12/25,4/27
2,57,Fences,Par.,"$57,682,904","2,368","$129,462",4,12/25,3/30
3,54,Why Him?,Fox,"$60,323,786","3,008","$11,002,986","2,917",12/23,3/23
4,10,Sing,Uni.,"$270,395,425","4,029","$35,258,145","4,022",12/21,5/11
5,30,Passengers (2016),Sony,"$100,014,699","3,478","$14,869,736","3,478",12/21,4/20
6,63,Assassin's Creed,Fox,"$54,647,948","2,996","$10,278,225","2,970",12/21,3/9
7,1,Rogue One: A Star Wars Story,BV,"$532,177,324","4,157","$155,081,681","4,157",12/16,5/4
8,68,Manchester by the Sea,RAtt.,"$47,695,371","1,213","$256,498",4,12/16,4/27
9,86,Collateral Beauty,WB (NL),"$31,016,021","3,028","$7,102,085","3,028",12/16,2/9
10,62,Office Christmas Party,Par.,"$54,767,494","3,210","$16,890,204","3,210",12/9,1/26
11,132,Nocturnal Animals,Focus,"$10,663,357","1,262","$492,648",37,12/9,1/26
12,154,Miss Sloane,EC,"$3,500,605","1,648","$59,797",3,12/9,1/2
13,165,The Bounce Back,VPD,"$321,910",615,"$227,354",615,12/9,12/22
14,146,Incarnate,BH Tilt,"$4,799,774","1,737","$2,534,884","1,737",12/2,12/29
15,163,Believe (2016),Free,"$890,303",638,"$477,387",638,12/2,1/5
16,11,Moana,BV,"$248,757,044","3,875","$56,631,401","3,875",11/23,4/27
17,75,Allied,Par.,"$40,098,064","3,160","$12,701,743","3,160",11/23,1/26
18,111,Bad Santa 2,BG,"$17,782,178","2,945","$6,176,680","2,920",11/23,1/26
19,153,Rules Don't Apply,Fox,"$3,652,206","2,386","$1,589,625","2,382",11/23,12/22
20,12,Fantastic Beasts and Where To Find Them,WB,"$234,037,575","4,144","$74,403,387","4,144",11/18,3/30
21,90,Moonlight (2016),A24,"$27,854,932","1,564","$402,075",4,11/18,5/4
22,121,The Edge of Seventeen,STX,"$14,431,633","1,945","$4,754,215","1,945",11/18,1/5
23,145,Bleed for This,ORF,"$5,083,906","1,549","$2,366,810","1,549",11/18,12/15
24,159,Billy Lynn's Long Halftime Walk,TriS,"$1,738,477","1,176","$114,129",2,11/18,12/15
25,29,Arrival,Par.,"$100,546,139","3,115","$24,074,047","2,317",11/11,3/9
26,73,Almost Christmas,Uni.,"$42,158,780","2,379","$15,134,235","2,376",11/11,1/12
27,141,Shut In,EC,"$6,900,335","2,058","$3,613,567","2,058",11/11,1/2
28,13,Doctor Strange,BV,"$232,641,920","3,882","$85,058,311","3,882",11/4,3/16
29,18,Trolls,Fox,"$153,707,064","4,066","$46,581,142","4,060",11/4,3/30
30,46,Hacksaw Ridge,LGF,"$67,209,615","2,971","$15,190,758","2,886",11/4,3/9
